,Canonical_smiles,Murcko,ClassA,No
2696,C[C@H](c1cccnc1F)c2c(CCN(C)C)sc3ccccc23,c1cncc(Cc2csc3ccccc23)c1,0,1555
2541,CCC(CC)NCCCc1cc(nc(n1)C#N)c2cccc(c2)C(F)(F)F,c1ccc(-c2ccncn2)cc1,1,7054
8288,CC(C)(N)c1nc(c[nH]1)c2ccc(Cl)cc2,c1ccc(-c2c[nH]cn2)cc1,0,2676
7732,Cc1nccn1c2ccc(cn2)c3cn(CC(=O)Nc4cccc(Cl)c4Cl)nn3,O=C(Cn1cc(-c2ccc(-n3ccnc3)nc2)nn1)Nc1ccccc1,0,2174
2029,Clc1ccc(cc1)[C@H](OC2CN(C2)C(=O)N3CCCCC3)c4cccnc4Cl,O=C(N1CCCCC1)N1CC(OC(c2ccccc2)c2cccnc2)C1,0,3996
4749,CNC(=O)N(Cc1ccsc1)C2CCN(CC2)[C@H](C)CCNC(=O)c3c(C)cc(Cl)nc3C,O=C(NCCCN1CCC(NCc2ccsc2)CC1)c1cccnc1,0,6095
1856,CC[C@@H]1NC(=NC1(c2ccc(F)cc2)c3ccc(F)cc3)c4cc(ccn4)C#N,c1ccc(C2(c3ccccc3)CNC(c3ccccn3)=N2)cc1,1,6280
8270,Cl.CN(C\C=C\c1ccc(cc1F)C(F)(F)F)Cc2ccc3OCCc3c2,C(=Cc1ccccc1)CNCc1ccc2c(c1)CCO2,0,1503
4103,COc1cc(ccc1n2cnc(C)c2)c3cn(nn3)[C@H]4C[C@H](CN(CC(F)(F)F)C4=O)C(F)(F)F,O=C1NCCCC1n1cc(-c2ccc(-n3ccnc3)cc2)nn1,0,4555
1040,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5cc6oc(nc6cc5CC4)C7CC7)n3C,c1cc(-c2nnc(SCCCN3CCc4cc5nc(C6CC6)oc5cc4CC3)[nH]2)c2cccnc2c1,1,2831
7172,C1CC(CCO1)[C@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6csc7ccccc67,c1ccc2c3c([nH]c2c1)C(C1CCOCC1)NC(c1nc(-c2csc4ccccc24)c[nH]1)C3,1,2556
1776,C[C@H]1OC=C2C(=C(C(=O)O)C(=O)C(=C2[C@@H]1C)C)O,O=C1C=CC2=COCCC2=C1,0,7523
4564,CN1CCC[C@@H]1CN2N=C(Cc3ccc(Cl)cc3)c4cccnc4C2=O,O=c1c2ncccc2c(Cc2ccccc2)nn1CC1CCCN1,0,3151
873,CC(C(O)c1ccc2NC(=O)CCc2c1)N3CCC(O)(CC3)c4ccc(Cl)cc4,O=C1CCc2cc(CCN3CCC(c4ccccc4)CC3)ccc2N1,1,7466
4716,OC(=O)c1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,c1ccc(OC2CCN(CC3CCN(c4ccccc4)CC3)CC2)cc1,0,150
2980,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3C4(CC4)c5ccccc5)c1,c1ccc(OC2CC3CCC(C2)N3C2(c3ccccc3)CC2)cc1,1,5283
2866,NC(=O)c1cccc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)c1,c1ccc(CN2C3CCC2CC(Oc2ccccc2)C3)cc1,1,4700
4298,Fc1ccc(cc1)C(CCCCCN2CCC(CNC(=O)c3cc(cc(c3)C(F)(F)F)C(F)(F)F)C2)c4ccc(F)cc4,O=C(NCC1CCN(CCCCCC(c2ccccc2)c2ccccc2)C1)c1ccccc1,1,4906
6292,Fc1cccnc1c2ccc3[nH]nc(c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2,c1ccc(-c2ccc3[nH]nc(-c4cncc(OC5CNCCC56CC6)n4)c3c2)nc1,0,2088
471,COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1,c1ccc(Sc2ccc3nc[nH]c3c2)cc1,0,2072
7465,Cc1c(ccc(F)c1C#N)[C@H]2CN3CCN(C[C@H]3CO2)C(=O)Cc4ccc(nn4)n5cnnn5,O=C(Cc1ccc(-n2cnnn2)nn1)N1CCN2CC(c3ccccc3)OCC2C1,0,6745
8137,Cc1nnc2sc(C(=O)NCc3ccc(cc3)c4cccnc4F)c(N)c2c1C,O=C(NCc1ccc(-c2cccnc2)cc1)c1cc2ccnnc2s1,0,2140
7313,COC(CN1CCN(CC1)C(=O)Cc2ccc(nc2)n3cnnn3)c4ccc5C(=O)OCc5c4C,O=C1OCc2cc(CCN3CCN(C(=O)Cc4ccc(-n5cnnn5)nc4)CC3)ccc21,0,5187
4607,O=C1OCc2cc(CCN3CCN(CCc4ccc(C#N)c(OC5CC5)c4)CC3)ccc12,O=C1OCc2cc(CCN3CCN(CCc4cccc(OC5CC5)c4)CC3)ccc21,1,2366
