,Canonical_smiles,Murcko,ClassB,No
5723,COc1ncnc(Cn2cc(C(=O)NCCO)c3ncc(C)cc23)c1C,c1cnc2ccn(Cc3ccncn3)c2c1,0,3025
2541,CCC(CC)NCCCc1cc(nc(n1)C#N)c2cccc(c2)C(F)(F)F,c1ccc(-c2ccncn2)cc1,1,7054
4484,COc1ncc(cn1)c2cccc3OC[C@H](Cc23)NC(=O)c4ccc(OCCC(F)(F)F)nc4,O=C(NC1COc2cccc(-c3cncnc3)c2C1)c1cccnc1,0,850
6478,O[C@@]1(CC23CCC(CC2)(CO3)NCc4ccc5SCC(=O)Nc5n4)CN6C(=O)C=Cc7ncc(F)c1c67,O=C1CSc2ccc(CNC34CCC(CC5Cn6c(=O)ccc7nccc5c76)(CC3)OC4)nc2N1,0,8254
3093,CC(=O)OCC(COC(=O)C)OC(=O)C,,0,7836
2234,CC(NC(=O)CC1CCN(Cc2ccn(c2)c3ccc(cc3)C(F)(F)F)CC1)C4=CNC(=O)C=C4,O=C(CC1CCN(Cc2ccn(-c3ccccc3)c2)CC1)NCc1ccc(=O)[nH]c1,0,766
1856,CC[C@@H]1NC(=NC1(c2ccc(F)cc2)c3ccc(F)cc3)c4cc(ccn4)C#N,c1ccc(C2(c3ccccc3)CNC(c3ccccn3)=N2)cc1,1,6280
4198,CCOC(=O)C1CCN(CCCCOc2ccc(cc2)S(=O)(=O)N)CC1,c1ccc(OCCCCN2CCCCC2)cc1,0,688
70,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,O=C(Cc1ccccc1)NC1C(=O)N2CCSC12,0,6467
1040,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5cc6oc(nc6cc5CC4)C7CC7)n3C,c1cc(-c2nnc(SCCCN3CCc4cc5nc(C6CC6)oc5cc4CC3)[nH]2)c2cccnc2c1,1,2831
7172,C1CC(CCO1)[C@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6csc7ccccc67,c1ccc2c3c([nH]c2c1)C(C1CCOCC1)NC(c1nc(-c2csc4ccccc24)c[nH]1)C3,1,2556
