,Canonical_smiles,Murcko,ClassC,No
5261,Cn1ccc(CN2CCc3cc4nc(N)sc4cc3CC2)n1,c1cc(CN2CCc3cc4ncsc4cc3CC2)n[nH]1,0,1030
2541,CCC(CC)NCCCc1cc(nc(n1)C#N)c2cccc(c2)C(F)(F)F,c1ccc(-c2ccncn2)cc1,1,7054
3729,COc1ccc(Nc2nc(N[C@@H]3CCOC[C@@H]3N)ncc2C(=O)N)cc1,c1ccc(Nc2ccnc(NC3CCOCC3)n2)cc1,0,7240
2559,COc1ccccc1CC(N2CCNCC2)c3cccc(F)c3,c1ccc(CC(c2ccccc2)N2CCNCC2)cc1,0,5657
7015,Nc1nc(CNC(=O)c2ccc(C[C@@H]3CC[C@@H](N3)[C@H](O)c4ccccc4)cc2)cs1,O=C(NCc1cscn1)c1ccc(CC2CCC(Cc3ccccc3)N2)cc1,0,7793
782,OC=O.Fc1ccc(C(=O)N2CCN(C(=O)C2)c3ccc(OCCCN4CCCCCC4)cc3)c(F)c1,O=C(c1ccccc1)N1CCN(c2ccc(OCCCN3CCCCCC3)cc2)C(=O)C1,0,1343
1856,CC[C@@H]1NC(=NC1(c2ccc(F)cc2)c3ccc(F)cc3)c4cc(ccn4)C#N,c1ccc(C2(c3ccccc3)CNC(c3ccccn3)=N2)cc1,1,6280
752,N[C@H]1CN(CC[C@@H]1c2cc(F)c(F)cc2F)c3ccn4cnnc4n3.OC(=O)C(F)(F)F,c1ccc(C2CCN(c3ccn4cnnc4n3)CC2)cc1,0,272
5521,CC(=O)Nc1cc(Nc2cc(NC3COC3)n4ncc(C#N)c4n2)c(F)cc1C5CC5,c1cc2nc(Nc3ccc(C4CC4)cc3)cc(NC3COC3)n2n1,0,735
1040,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5cc6oc(nc6cc5CC4)C7CC7)n3C,c1cc(-c2nnc(SCCCN3CCc4cc5nc(C6CC6)oc5cc4CC3)[nH]2)c2cccnc2c1,1,2831
