,Canonical_smiles,Murcko,ClassD,No
4174,COc1ccc2c(Oc3ccc(CC(=O)Nc4cn(C)nc4C)c(OC)c3)ccnc2c1.OS(=O)(=O)O,O=C(Cc1ccc(Oc2ccnc3ccccc23)cc1)Nc1cn[nH]c1,0,4705
2541,CCC(CC)NCCCc1cc(nc(n1)C#N)c2cccc(c2)C(F)(F)F,c1ccc(-c2ccncn2)cc1,1,7054
4705,Cc1cc(Cl)ccc1OC2CCN(CC3CCN(CC3)[C@@](C)(Cc4ccc(F)cc4)C(=O)O)CC2,c1ccc(CCN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,0,4567
8053,NC(=O)c1cnc(N[C@H]2CNCC[C@@H]2O)c3cc(sc13)c4ccccc4,c1ccc(-c2cc3c(NC4CCCNC4)nccc3s2)cc1,0,1636
5123,FC(F)(F)c1cnc2CCN(Cc2c1)C(=O)[C@@]34CCCC[C@@H]3C[C@H](C4)NC5CCOCC5,O=C(N1CCc2ncccc2C1)C12CCCCC1CC(NC1CCOCC1)C2,0,7917
281,Cc1ccc(cc1)C(=O)c2ccc(CC(=O)O)n2C,O=C(c1ccccc1)c1ccc[nH]1,0,6811
1856,CC[C@@H]1NC(=NC1(c2ccc(F)cc2)c3ccc(F)cc3)c4cc(ccn4)C#N,c1ccc(C2(c3ccccc3)CNC(c3ccccn3)=N2)cc1,1,6280
6298,COc1ccc(CC(=O)N2CCC3(CC2)CN(C3)[C@@H]4CCc5cc(ccc45)c6cc(C)ncn6)c(c1)C(=O)N,O=C(Cc1ccccc1)N1CCC2(CC1)CN(C1CCc3cc(-c4ccncn4)ccc31)C2,0,4785
191,CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c2ccc(Cl)cc2,O=C(c1ccccc1)c1ccccc1,0,5924
1040,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5cc6oc(nc6cc5CC4)C7CC7)n3C,c1cc(-c2nnc(SCCCN3CCc4cc5nc(C6CC6)oc5cc4CC3)[nH]2)c2cccnc2c1,1,2831
7172,C1CC(CCO1)[C@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6csc7ccccc67,c1ccc2c3c([nH]c2c1)C(C1CCOCC1)NC(c1nc(-c2csc4ccccc24)c[nH]1)C3,1,2556
3046,Cc1ncccc1N2C[C@@]3(CC[C@@H](CC3)c4nc5cc(OC(F)(F)F)ccc5[nH]4)OC2=O,O=C1OC2(CCC(c3nc4ccccc4[nH]3)CC2)CN1c1cccnc1,0,168
3804,Cc1nc2C(=O)N(CC(=O)O)Cc2c(c1CN)c3ccc(Cl)cc3Cl,O=C1NCc2c(-c3ccccc3)ccnc21,0,110
873,CC(C(O)c1ccc2NC(=O)CCc2c1)N3CCC(O)(CC3)c4ccc(Cl)cc4,O=C1CCc2cc(CCN3CCC(c4ccccc4)CC3)ccc2N1,1,7466
4206,O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(OCCN3CCCCC3)cc2,O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(OCCN2CCCCC2)cc1,0,4558
2980,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3C4(CC4)c5ccccc5)c1,c1ccc(OC2CC3CCC(C2)N3C2(c3ccccc3)CC2)cc1,1,5283
2866,NC(=O)c1cccc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)c1,c1ccc(CN2C3CCC2CC(Oc2ccccc2)C3)cc1,1,4700
4298,Fc1ccc(cc1)C(CCCCCN2CCC(CNC(=O)c3cc(cc(c3)C(F)(F)F)C(F)(F)F)C2)c4ccc(F)cc4,O=C(NCC1CCN(CCCCCC(c2ccccc2)c2ccccc2)C1)c1ccccc1,1,4906
7044,COc1ccc2ncc(F)c([C@H](O)[C@@H](O)C34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,0,5494
6018,CN1Cc2cc(ccc2C1=O)c3ccc(C[C@H](NC(=O)[C@@H]4CCCCN4)C#N)cc3,O=C1NCc2cc(-c3ccc(CCNC(=O)C4CCCCN4)cc3)ccc21,0,621
4697,OC(=O)[C@H](Cc1ccc(F)cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)cc4)CC2,c1ccc(CCN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,0,1267
5974,CC(C)N(C)[C@@H]1CC[C@@H]([C@H](CS(=O)(=O)C(C)C)C1)N2CC[C@H](NC(=O)c3cccc(c3)C(F)(F)F)C2=O,O=C(NC1CCN(C2CCCCC2)C1=O)c1ccccc1,0,345
5785,O=C(N1CCCN(CC1)C2CCC2)N3CCC4(CCCN(C4)C5CCOCC5)C3,O=C(N1CCCN(C2CCC2)CC1)N1CCC2(CCCN(C3CCOCC3)C2)C1,0,2155
