,Canonical_smiles,Murcko,ClassE,No
8101,Nc1nccn2c(nc(c3ccc(cc3)C(=O)Nc4cc(ccn4)C(F)(F)F)c12)[C@@H]5CCC[C@@H](C5)C(=O)O,O=C(Nc1ccccn1)c1ccc(-c2nc(C3CCCCC3)n3ccncc23)cc1,0,5810
2541,CCC(CC)NCCCc1cc(nc(n1)C#N)c2cccc(c2)C(F)(F)F,c1ccc(-c2ccncn2)cc1,1,7054
2816,CC(=O)O[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C#C,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,0,567
753,N[C@H]1CN(CC[C@@H]1c2cc(F)c(F)cc2F)C3=NN4C=CC(=O)N=C4C=C3.OC(=O)C(F)(F)F,O=c1ccn2nc(N3CCC(c4ccccc4)CC3)ccc2n1,0,1384
383,COc1ccc2[nH]c(nc2c1)[S+]([O-])Cc3ncc(C)c(OC)c3C,c1ccc(C[SH+]c2nc3ccccc3[nH]2)nc1,0,6889
778,OC=O.O=C(N1CCN(C(=O)C1)c2ccc(OCCCN3CCCCC3)cc2)c4ccncc4,O=C(c1ccncc1)N1CCN(c2ccc(OCCCN3CCCCC3)cc2)C(=O)C1,0,6299
1856,CC[C@@H]1NC(=NC1(c2ccc(F)cc2)c3ccc(F)cc3)c4cc(ccn4)C#N,c1ccc(C2(c3ccccc3)CNC(c3ccccn3)=N2)cc1,1,6280
6607,NC(=O)c1cnc2[nH]ccc2c1NC3CCN(CC3)c4cnc(cn4)C#N,c1cnc(N2CCC(Nc3ccnc4[nH]ccc34)CC2)cn1,0,7187
349,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,0,4661
1040,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5cc6oc(nc6cc5CC4)C7CC7)n3C,c1cc(-c2nnc(SCCCN3CCc4cc5nc(C6CC6)oc5cc4CC3)[nH]2)c2cccnc2c1,1,2831
7172,C1CC(CCO1)[C@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6csc7ccccc67,c1ccc2c3c([nH]c2c1)C(C1CCOCC1)NC(c1nc(-c2csc4ccccc24)c[nH]1)C3,1,2556
1062,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,c1ccc(Nc2ccncn2)cc1,0,8247
5974,CC(C)N(C)[C@@H]1CC[C@@H]([C@H](CS(=O)(=O)C(C)C)C1)N2CC[C@H](NC(=O)c3cccc(c3)C(F)(F)F)C2=O,O=C(NC1CCN(C2CCCCC2)C1=O)c1ccccc1,0,345
873,CC(C(O)c1ccc2NC(=O)CCc2c1)N3CCC(O)(CC3)c4ccc(Cl)cc4,O=C1CCc2cc(CCN3CCC(c4ccccc4)CC3)ccc2N1,1,7466
4706,Cc1cc(OC2CCN(CC3CCN(CC3)[C@@](C)(Cc4ccc(F)cc4)C(=O)O)CC2)ccc1Cl,c1ccc(CCN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,0,4417
2980,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3C4(CC4)c5ccccc5)c1,c1ccc(OC2CC3CCC(C2)N3C2(c3ccccc3)CC2)cc1,1,5283
2866,NC(=O)c1cccc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)c1,c1ccc(CN2C3CCC2CC(Oc2ccccc2)C3)cc1,1,4700
4298,Fc1ccc(cc1)C(CCCCCN2CCC(CNC(=O)c3cc(cc(c3)C(F)(F)F)C(F)(F)F)C2)c4ccc(F)cc4,O=C(NCC1CCN(CCCCCC(c2ccccc2)c2ccccc2)C1)c1ccccc1,1,4906
3701,FC(F)(F)c1ccc2[nH]nc(NCC(=O)NC3CN(C3)[C@@H]4CC[C@@H](CC4)c5cncs5)c2c1,O=C(CNc1n[nH]c2ccccc12)NC1CN(C2CCC(c3cncs3)CC2)C1,0,386
1060,COc1cc(CNC(=O)CCCC\C=C\C(C)C)ccc1O,c1ccccc1,0,134
5736,COCCOC(=O)N1C[C@@H]2C[C@H](C[C@@]2(C1)C(=O)N3CCc4ncc(cc4C3)C(F)(F)F)NC5CCOCC5OC,O=C(N1CCc2ncccc2C1)C12CNCC1CC(NC1CCOCC1)C2,0,7275
1708,CCN(CC)C(=O)c1ccc(cc1)C2=CC3(CCNCC3)Oc4cccc(O)c24,C1=C(c2ccccc2)c2ccccc2OC12CCNCC2,0,5039
3271,Cl.CNCC[C@@H](Oc1cc(ccc1C#N)C(F)(F)F)c2ccccc2,c1ccc(COc2ccccc2)cc1,0,3094
4607,O=C1OCc2cc(CCN3CCN(CCc4ccc(C#N)c(OC5CC5)c4)CC3)ccc12,O=C1OCc2cc(CCN3CCN(CCc4cccc(OC5CC5)c4)CC3)ccc21,1,2366
7457,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c4ccc(cc4)C(F)(F)F)C2)nnc1c5ccc(cc5)C(=O)N,c1ccc(-c2nnc(SCCCN3CCC4(CC4c4ccccc4)C3)[nH]2)cc1,1,4709
408,NC1=NC(=O)C2=C(NCC(CNc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)N2C=O)N1,O=c1nc[nH]c2c1NC(CNc1ccccc1)CN2,0,2526
7130,Cn1c(SCCCN2CC3CCN(C3C2)c4c(F)cc(F)cc4F)nnc1c5cnccn5,c1ccc(N2CCC3CN(CCCSc4nnc(-c5cnccn5)[nH]4)CC32)cc1,1,4779
7835,Fc1ccc(Nc2n[nH]c3cc(OC(F)(F)F)cnc23)cc1F,c1ccc(Nc2n[nH]c3cccnc23)cc1,0,3107
4569,[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc(cc3)[N+](=O)[O-])CC2)cc1,c1ccc(CCN2CCN(CCc3ccccc3)CC2)cc1,1,2794
148,CC(C(=O)O)c1ccc(c(F)c1)c2ccccc2,c1ccc(-c2ccccc2)cc1,0,8152
4498,O=S1(=O)CCC(CC1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccc6,O=S1(=O)CCC(C2NC(c3nc(-c4ccccc4)c[nH]3)Cc3c2[nH]c2ccccc32)CC1,1,5739
2972,CC(N1[C@@H]2CC[C@H]1C[C@@H](C2)Oc3cccc(c3)C(=O)N)c4ccccc4C,c1ccc(CN2C3CCC2CC(Oc2ccccc2)C3)cc1,1,7980
395,Cn1cnc(c1Sc2ncnc3nc[nH]c23)[N+](=O)[O-],c1nc(Sc2cnc[nH]2)c2[nH]cnc2n1,0,6000
103,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,O=S(=O)(Nc1ncccn1)c1ccccc1,0,3862
6446,Fc1cnc2ccc(nc2c1CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)N7CCOCC7,O=C1COc2ccc(CNC34CCC(CCc5ccnc6ccc(N7CCOCC7)nc56)(CC3)OC4)nc2N1,1,5965
2698,CC(=O)N1CCC(CC1)c2[nH]nc(c3ccc(F)cc3)c2c4ccncc4,c1ccc(-c2n[nH]c(C3CCNCC3)c2-c2ccncc2)cc1,1,6312
3950,COc1cccc(c1)C(=O)CN2C(=O)N(C)c3c(C#N)c(N4CCC[C@H](N)C4)n(Cc5ccccc5)c3C2=O,O=C(Cn1c(=O)[nH]c2cc(N3CCCCC3)n(Cc3ccccc3)c2c1=O)c1ccccc1,1,5675
5509,CCCN1C(=O)CC2(CCN(CC3CCN(CC3)C(=O)OCC)CC2)c4cccnc14,O=C1CC2(CCN(CC3CCNCC3)CC2)c2cccnc2N1,1,6434
1849,CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)c5cccc6[nH]ncc56)CC1,c1cc(-c2nc(N3CCOCC3)c3sc(CN4CCNCC4)cc3n2)c2cn[nH]c2c1,0,466
481,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc4cc(F)ccc4[C@@H]1C(C)C,c1ccc2c(c1)CCC(CCNCCCc1nc3ccccc3[nH]1)C2,1,7319
7821,Cl.Cl.CCCCc1cc(OC2CCN(CCCCNS(=O)(=O)C(C)C)CC2)c3ncccc3c1,c1cnc2c(OC3CCNCC3)cccc2c1,1,4237
1004,Cc1oc2cc3CCN(CCCCSc4nnc(c5ocnc5C)n4C)CCc3cc2n1,c1ncc(-c2nnc(SCCCCN3CCc4cc5ncoc5cc4CC3)[nH]2)o1,0,1488
4213,FC(F)(F)c1ccc(NC(=O)NS(=O)(=O)c2ccc(OCCCN3CCCC3)cc2)cc1,O=C(Nc1ccccc1)NS(=O)(=O)c1ccc(OCCCN2CCCC2)cc1,0,5971
1094,O=C1[C@H](CCN1Cc2ccccc2)N(Cc3cccnc3)Cc4cncn4Cc5ccc(cc5)C#N,O=C1C(N(Cc2cccnc2)Cc2cncn2Cc2ccccc2)CCN1Cc1ccccc1,1,5568
