,Canonical_smiles,IC50(nM),ClassA,ClassB,ClassC,ClassD,ClassE,ClassI,ClassJ,No,Murcko
8104,Cc1c2COC(=O)c2ccc1[C@@H](O)CN3CCC4(CC3)CN(C4)c5ccc(cn5)C#N,10500.0,0,0,,,,0,1,1,O=C1OCc2cc(CCN3CCC4(CC3)CN(c3ccccn3)C4)ccc21
3441,ONC(=O)\C=C\c1ccc2CN(Cc2c1)C(=O)Cc3ccccc3,30000.0,0,0,0,,,0,0,2,O=C(Cc1ccccc1)N1Cc2ccccc2C1
2028,Fc1ccc(cc1)S(=O)(=O)NC(=O)NC2CCN(Cc3ccn(c3)c4ccc(cc4)C(F)(F)F)CC2,31600.0,0,0,0,0,,0,0,3,O=C(NC1CCN(Cc2ccn(-c3ccccc3)c2)CC1)NS(=O)(=O)c1ccccc1
806,OC=O.Fc1cc(F)cc(c1)C(=O)N2CCN(C(=O)C2)c3ccc(OC4CCN(CC4)C5CCCC5)cc3,7943.28,0,,,,,1,1,4,O=C(c1ccccc1)N1CCN(c2ccc(OC3CCN(C4CCCC4)CC3)cc2)C(=O)C1
1558,OC(=O)C1CCN(Cc2ccc(Oc3nc4ccccc4s3)cc2)CC1,30000.0,0,0,0,,,0,0,5,c1ccc2sc(Oc3ccc(CN4CCCCC4)cc3)nc2c1
7239,COc1ccc(cc1)c2oc(nn2)C(=O)N3CCC(CC3)Oc4ccc(CN5CCCC5)cn4,33000.0,0,0,0,0,,0,0,6,O=C(c1nnc(-c2ccccc2)o1)N1CCC(Oc2ccc(CN3CCCC3)cn2)CC1
3944,C[C@H]1CC(=O)NN=C1c2ccc(OC3CCN(CC3)C4CCC4)cc2,27000.0,0,0,0,,,0,0,7,O=C1CCC(c2ccc(OC3CCN(C4CCC4)CC3)cc2)=NN1
642,CCN(C1CCN(CC[C@H](c2ccc(cc2)S(=O)(=O)C)c3cc(F)cc(F)c3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C,1900.0,0,,,,,1,1,8,O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1
6181,CN1C[C@H](c2ccc3sccc3c2)c4ccc(cc4C1)N5CCOCC5,1000.0,1,1,1,1,1,1,1,9,c1cc2cc(C3CNCc4cc(N5CCOCC5)ccc43)ccc2s1
4346,CC(C)N1CCO[C@@H](CN2CCN(CC2)C(=O)Nc3ccc(Cl)c(Cl)c3)C1,6300.0,0,,,,,1,1,10,O=C(Nc1ccccc1)N1CCN(CC2CNCCO2)CC1
5433,COc1ccc(cc1)C2(SCC(=N2)N)c3cccc(c3)c4cccnc4,10000.0,0,,,,,1,1,11,C1=NC(c2ccccc2)(c2cccc(-c3cccnc3)c2)SC1
5883,Cn1ccc(NC(=O)c2cc(OC(CF)CF)cc(Oc3ccc(cc3)C(=O)N4CCC4)c2)n1,28000.0,0,0,0,,,0,0,12,O=C(Nc1cc[nH]n1)c1cccc(Oc2ccc(C(=O)N3CCC3)cc2)c1
2522,C(C(N1CCNCC1)c2ccccc2)c3cccc4CCOc34,21400.0,0,0,0,,,0,0,13,c1ccc(C(Cc2cccc3c2OCC3)N2CCNCC2)cc1
35,Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4,1000000.0,0,0,0,0,0,0,0,14,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccccc2)sc2ccccc12
4256,CS(=O)(=O)Cc1cc(nc(n1)c2ccc3[nH]ccc3c2)N4CC5CCC(C4)O5,32000.0,0,0,0,0,,0,0,15,c1cc(N2CC3CCC(C2)O3)nc(-c2ccc3[nH]ccc3c2)n1
1297,Cc1cccc(NC(=O)c2oc(cc2)c3ccc(Cl)cc3)c1,27000.0,0,0,0,,,0,0,16,O=C(Nc1ccccc1)c1ccc(-c2ccccc2)o1
8144,CCOC(=O)C1=C(CN2CCOCC2)NC(=N[C@@H]1c3ccc(F)cc3Br)c4nccs4,4880.0,0,,,,,1,1,17,C1=C(CN2CCOCC2)NC(c2nccs2)=NC1c1ccccc1
5310,CN1CCC(COCc2cc(cc(n2)C3CC3)C(F)(F)F)(CC1)c4cccc(F)c4,9000.0,0,,,,,1,1,18,c1ccc(C2(COCc3cccc(C4CC4)n3)CCNCC2)cc1
3411,CC(C)(N)C(=O)N1CCn2c(C1)nc(c2Nc3ccc(F)c(F)c3)c4ccc(F)cc4,4800.0,0,,,,,1,1,19,c1ccc(Nc2c(-c3ccccc3)nc3n2CCNC3)cc1
3016,COC[C@H]1CCCN1CCn2ncc3cc(ccc23)N4C=CC(=CC4=O)OCc5ccccc5,800.0,1,1,1,1,1,1,1,20,O=c1cc(OCc2ccccc2)ccn1-c1ccc2c(cnn2CCN2CCCC2)c1
5820,Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccncc3)c2,30000.0,0,0,0,,,0,0,21,O=C(Nc1cccc(NC(=O)c2ccncc2)c1)c1ccccc1
1510,CC1=Nc2cccc(c2C(=O)N1c3ccc(OCCCN4CCCC4)cc3)C(F)(F)F,10000.0,0,,,,,1,1,22,O=c1c2ccccc2ncn1-c1ccc(OCCCN2CCCC2)cc1
627,COc1ccc2C(=O)C=C(Oc2c1)C(=O)NC3CCN(Cc4ccc5OCOc5c4)CC3,11.5,1,1,1,1,1,1,1,23,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccccc2o1
963,CN(C)C(=O)C(N)c1ccc(cc1)C(=O)Nc2cc(ccc2N)c3cccs3,6800.0,0,,,,,1,1,24,O=C(Nc1cccc(-c2cccs2)c1)c1ccccc1
5187,Cc1nocc1C(=O)Nc2ccc(c(N)n2)c3ccccc3OC(F)(F)F,30000.0,0,0,0,,,0,0,25,O=C(Nc1ccc(-c2ccccc2)cn1)c1cnoc1
3206,CCC1=C(C)CC(C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCC(C)CC3)C1=O,74131.02,0,0,0,0,0,0,0,26,O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(CCNC(=O)C2CC=CC2=O)cc1
4618,CN1C(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc4ccccc4Cl)c5ccc(cc15)C#N,1200.0,0,,,,,1,1,27,O=c1[nH]c2ccccc2c2nc(N3CCCCC3)n(Cc3ccccc3)c12
5578,OC(=O)c1ccc(Oc2ccc(CN3CCC(CC3)N4[C@@H](CN(C5CCOCC5)C4=O)c6ccccc6)cc2)cc1,40000.0,0,0,0,0,,0,0,28,O=C1N(C2CCOCC2)CC(c2ccccc2)N1C1CCN(Cc2ccc(Oc3ccccc3)cc2)CC1
6027,Cl.C(Oc1cccnc1)[C@H]2CNCCN2c3oc4cccnc4n3,72000.0,0,0,0,0,0,0,0,29,c1cncc(OCC2CNCCN2c2nc3ncccc3o2)c1
3241,COc1ccc(cc1)[C@H]2CN(CCc3ccc(OC)c(OC)c3)C[C@@H]2CNC(=O)c4cccc(Cl)c4,110.0,1,1,1,1,1,1,1,30,O=C(NCC1CN(CCc2ccccc2)CC1c1ccccc1)c1ccccc1
2845,CC[C@H](C)[C@@H](CO[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCS(=O)(=O)C)C(=O)OC(C)C)NC[C@@H](N)CS,1000000.0,0,0,0,0,0,0,0,31,c1ccccc1
5426,COc1cccc(c1)c2cccc(c2)C3(C)SCCC(=N3)N,11000.0,0,0,,,,0,1,32,C1=NC(c2cccc(-c3ccccc3)c2)SCC1
2053,CCN(CC)C(=O)c1ccc(cc1C)C2=CC3(CCNCC3)Oc4ccccc24,4485.0,0,,,,,1,1,33,C1=C(c2ccccc2)c2ccccc2OC12CCNCC2
6501,O[C@@]1(CC23CCC(CC2)(CO3)NCc4cc(Cl)c5OCCOc5c4Cl)CN6C(=O)C=Cc7ncc(F)c1c67,60000.0,0,0,0,0,0,0,0,34,O=c1ccc2nccc3c2n1CC3CC12CCC(NCc3ccc4c(c3)OCCO4)(CC1)CO2
3332,COc1cc(F)ccc1c2cncc(c2)C3CCCN3,8620.0,0,,,,,1,1,35,c1ccc(-c2cncc(C3CCCN3)c2)cc1
8115,COc1ccc(\C=C\C(=O)N2CCN(CC2)c3ccc(cc3)C(=O)Nc4ccccc4N)cc1,25100.0,0,0,0,,,0,0,36,O=C(Nc1ccccc1)c1ccc(N2CCN(C(=O)C=Cc3ccccc3)CC2)cc1
7196,Cc1ncoc1c2nnc(SCCCN3CC4CCN(C4C3)c5ccccc5)n2C,1258.93,0,,,,,1,1,37,c1ccc(N2CCC3CN(CCCSc4nnc(-c5cnco5)[nH]4)CC32)cc1
359,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N)C(=O)c4c(O)cccc4[C@@]3(C)O,1000000.0,0,0,0,0,0,0,0,38,O=C1C2=CC3C(=O)C=CCC3CC2Cc2ccccc21
6160,COc1cnc2C=CC(=O)N(CCN3CCC(CC3)c4c[nH]c5ccc(cc45)C#N)c2c1,2000.0,0,,,,,1,1,39,O=c1ccc2ncccc2n1CCN1CCC(c2c[nH]c3ccccc23)CC1
7031,CCOC(=O)[C@H]1[C@@H]2CN(C[C@H]12)C(=O)c3ccc(C[C@@H]4CC[C@@H](N4)[C@H](O)c5ccccc5)cc3,7000.0,0,,,,,1,1,40,O=C(c1ccc(CC2CCC(Cc3ccccc3)N2)cc1)N1CC2CC2C1
7027,O[C@@H]([C@H]1CC[C@@H](Cc2ccc(cc2)C(=O)N3C[C@@H]4[C@H](C3)[C@H]4c5ocnn5)N1)c6ccccc6,55000.0,0,0,0,0,0,0,0,41,O=C(c1ccc(CC2CCC(Cc3ccccc3)N2)cc1)N1CC2C(C1)C2c1nnco1
4994,COC(=O)c1cnc(Nc2cnc(C#N)c(O[C@@H]3CCNC3)n2)cc1N(C)C,30000.0,0,0,0,,,0,0,42,c1ccc(Nc2cncc(OC3CCNC3)n2)nc1
3369,Cc1nc2ccccc2n1[C@H]3C[C@H]4CC[C@@H](C3)N4CCC5(CCN(CC5)C(=O)C(C)(C)C)c6ccccc6,1000.0,1,1,1,1,1,1,1,43,c1ccc(C2(CCN3C4CCC3CC(n3cnc5ccccc53)C4)CCNCC2)cc1
3861,C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)CCCO,30000.0,0,0,0,,,0,0,44,c1ccc(-c2ccc(CCN3CCCC3)cc2)cc1
2341,CN(C(=O)c1c(C)onc1c2ccccc2Cl)c3ccc(Cl)cc3,50118.72,0,0,0,0,0,0,0,45,O=C(Nc1ccccc1)c1conc1-c1ccccc1
112,OC(=O)C1CCn2c1ccc2C(=O)c3ccccc3,1000000.0,0,0,0,0,0,0,0,46,O=C(c1ccccc1)c1ccc2n1CCC2
7505,Cn1cnc(c1)S(=O)(=O)NCCN2CC3CN(CCCOc4ccc(cc4)C#N)CC(C2)O3,31622.78,0,0,0,0,,0,0,47,O=S(=O)(NCCN1CC2CN(CCCOc3ccccc3)CC(C1)O2)c1c[nH]cn1
3312,CCc1cccc(NC(=O)N2CCc3nc(nc(c3C2)c4ccccc4C)c5cnccc5C#N)c1,200.0,1,1,1,1,1,1,1,48,O=C(Nc1ccccc1)N1CCc2nc(-c3cccnc3)nc(-c3ccccc3)c2C1
7902,CN1N=C(C=CC1=O)N2CCC3(CCN(C[C@H](O)c4ccc5C(=O)OCc5c4C)CC3)C2=O,20000.0,0,0,,,,0,1,49,O=C1OCc2cc(CCN3CCC4(CC3)CCN(c3ccc(=O)[nH]n3)C4=O)ccc21
8152,COCc1cnc(nc1)N2CCC(CC2)[C@H]3C[C@H]3CCOc4cc(F)c(CC(=O)N5CCC5)c(F)c4,9100.0,0,,,,,1,1,50,O=C(Cc1ccc(OCCC2CC2C2CCN(c3ncccn3)CC2)cc1)N1CCC1
4035,CN(C1CCN(Cc2ccc(cc2)C(F)(F)F)CC1)C(=O)Cc3ccc(cc3)S(=O)(=O)C,3000.0,0,,,,,1,1,51,O=C(Cc1ccccc1)NC1CCN(Cc2ccccc2)CC1
8075,CCOC(=O)C1=C(CN2CCCCC2C(=O)O)NC(=NC1c3ccc(F)cc3Br)c4nccs4,10000.0,0,,,,,1,1,52,C1=C(CN2CCCCC2)NC(c2nccs2)=NC1c1ccccc1
1868,FC(F)(F)c1cccc(CN2CCC(CNC(=O)c3cc(Cl)cc(Cl)c3)CC2)c1,483.0,1,1,1,1,1,1,1,53,O=C(NCC1CCN(Cc2ccccc2)CC1)c1ccccc1
6837,NC(=O)c1cn(nc1Nc2ccc(Cl)cc2)[C@H]3CC[C@H](O)C[C@@H]3C#N,26000.0,0,0,0,,,0,0,54,c1ccc(Nc2ccn(C3CCCCC3)n2)cc1
5399,CC(=O)N1CCN(CCOc2ccc(cc2)C3(O)CCN(CC3)c4ccc5nnc(n5n4)C(F)(F)F)CC1,100000.0,0,0,0,0,0,0,0,55,c1cc(C2CCN(c3ccc4nncn4n3)CC2)ccc1OCCN1CCNCC1
3517,Clc1ccc(cc1Cl)[C@@]23CCC[C@@H]2CNC3,5280.0,0,,,,,1,1,56,c1ccc(C23CCCC2CNC3)cc1
423,CN1CCN(CC1)c2c(F)cc3C(=O)C(=CN(CCF)c3c2F)C(=O)O,1000000.0,0,0,0,0,0,0,0,57,O=c1cc[nH]c2cc(N3CCNCC3)ccc12
1250,CN(C)S(=O)(=O)N(C)[C@@H]1CCCN2C(=O)C(=C(N=C12)C(=O)NCc3ccc(F)cc3)O,20000.0,0,0,,,,0,1,58,O=C(NCc1ccccc1)c1cc(=O)n2c(n1)CCCC2
6572,CCn1cc(cn1)[C@]2(N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccc(F)cn6)C7=NN(C)C(=O)O7,27000.0,0,0,0,,,0,0,59,O=c1[nH]nc(C2(c3cn[nH]c3)NC(c3nc(-c4ccccn4)c[nH]3)Cc3c2[nH]c2ccccc32)o1
4031,Nc1ncc(c2cnn(CCO)c2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,1000.0,1,1,1,1,1,1,1,60,O=C(Nc1ccccc1)Nc1ccc(-c2csc3c(-c4cn[nH]c4)cncc23)cc1
5332,CN1CCC(COCc2cc(cc(n2)C3CC3)C(F)(F)F)(CC1)c4ccc(F)cc4,13000.0,0,0,,,,0,1,62,c1ccc(C2(COCc3cccc(C4CC4)n3)CCNCC2)cc1
677,Cc1nc(nc2ccc(NC(=O)COc3ccc(Cl)cc3)cc12)N4CCCC4,10000.0,0,,,,,1,1,63,O=C(COc1ccccc1)Nc1ccc2nc(N3CCCC3)ncc2c1
4913,COc1ccc(cc1)C2(N=C(C)C(=N2)N)c3cccc(c3)c4cncnc4,33000.0,0,0,0,0,,0,0,64,C1=NC(c2ccccc2)(c2cccc(-c3cncnc3)c2)N=C1
1837,CC(C)(O)c1ccc(c[n+]1[O-])C#Cc2cccc(c2)N3C=C(C(=O)NC4CC4)C(=O)c5cccnc35,89400.0,0,0,0,0,0,0,0,65,O=C(NC1CC1)c1cn(-c2cccc(C#Cc3ccc[nH+]c3)c2)c2ncccc2c1=O
3078,O=S(=O)(Cc1cc(nc(n1)c2ccccn2)N3CCOCC3)c4ccccc4,32000.0,0,0,0,0,,0,0,66,O=S(=O)(Cc1cc(N2CCOCC2)nc(-c2ccccn2)n1)c1ccccc1
225,CC(C)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-],1000000.0,0,0,0,0,0,0,0,67,c1ccccc1
6755,COc1cc(ccc1n2cnc(C)c2)c3cn(nn3)C4CCc5ccccc5N(Cc6ccccn6)C4=O,7570.0,0,,,,,1,1,68,O=C1C(n2cc(-c3ccc(-n4ccnc4)cc3)nn2)CCc2ccccc2N1Cc1ccccn1
5453,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]4CC[C@H](C4)NCC(F)(F)F,100000.0,0,0,0,0,0,0,0,69,c1cc2c(ncc3ncn(C4CCCC4)c32)[nH]1
8121,NC(=O)c1cn(nc1Nc2ccc(cc2)[C@H](O)C(F)(F)F)[C@H]3COCC[C@@H]3C#N,60000.0,0,0,0,0,0,0,0,70,c1ccc(Nc2ccn(C3CCCOC3)n2)cc1
